fruit_label,fruit_name,fruit_subtype,weight,width,height,color_score,group
1,apple,red_delicious,327,8.4,7.3,554,giraffe1
1,apple,red_delicious,160,8.5,9,555,giraffe1
1,apple,gala,150,7.9,7.5,503,giraffe1
1,apple,gala,144,6.9,6,504,giraffe1
1,apple,red_delicious,221,8.3,8,556,giraffe1
1,apple,red_delicious,221,7.4,8.5,555,giraffe1
1,apple,gala,126,7.7,5.3,494,giraffe1
1,apple,gala,146,6.4,6.5,504,giraffe1
2,mango,mango,283,10,11,497,giraffe1
2,mango,mango,289,8.6,9,496,giraffe1
2,mango,mango,349,9.4,11,386,giraffe1
2,mango,mango,266,8,10,497,giraffe1
3,orange,orange,199,7.6,7.2,498,giraffe1
3,orange,orange,148,7,6.1,498,giraffe1
3,orange,orange,178,6.3,6.9,498,giraffe1
1,apple,red_delicious,160,6.5,7.7,137,owl1
1,apple,red_delicious,188,6.9,6.8,35,owl1
1,apple,red_delicious,201,6.2,6.4,137,owl1
1,apple,red_delicious,181,6.1,7.2,136,owl1
1,apple,gala,123,6.2,5.8,504,owl1
1,apple,gala,146,6.9,5.8,135,owl1
1,apple,gala,131,6.5,5.4,503,owl1
1,apple,gala,133,6.8,6.5,630,owl1
2,mango,unknown,259,7.7,8.9,493,owl1
2,mango,unknown,253,7.3,9.3,88,owl1
2,mango,unknown,290,7.5,10.3,496,owl1
2,mango,unknown,285,8.4,9.9,493,owl1
3,orange,unknown,185,6.8,6.7,498,owl1
3,orange,unknown,135,6.5,6.3,498,owl1
3,orange,unknown,184,6.8,7.5,498,owl1
3,orange,unknown,160,6.8,7.8,498,owl1
1,apple,red,187,8.1,6.8,506,ratcliff
1,apple,red,157,6.7,6.9,136,ratcliff
1,apple,red,129,6.5,6.4,134,ratcliff
1,apple,red,218,8.4,9,556,ratcliff
1,apple,red,149,6.9,7.4,507,ratcliff
1,apple,red,135,6.5,6.2,553,ratcliff
1,apple,red,121,6.3,5.4,630,ratcliff
1,apple,red,139,6,6.5,506,ratcliff
2,mango,unknown,291,7.6,10.5,496,ratcliff
2,mango,unknown,253,7.5,9,517,ratcliff
2,mango,unknown,285,8,9.4,495,ratcliff
2,mango,unknown,274,7.3,9.3,50,ratcliff
2,mango,unknown,282,7.8,10.1,495,ratcliff
3,orange,unknown,160,6.8,6.4,53,ratcliff
3,orange,unknown,223,7.3,7.3,90,ratcliff
3,orange,unknown,171,6.5,6.2,92,ratcliff
3,orange,unknown,178,6.4,7.8,499,ratcliff
3,orange,unknown,154,6.8,6.6,91,ratcliff
1,apple,,147,6.9,6.5,134,hawk1
1,apple,,183,7.5,7.4,133,hawk1
2,mango,,333,8.5,10.9,50,hawk1
3,orange,,167,7,7.3,498,hawk1
1,apple,,132,8.2,6.8,58,hawk1
1,apple,,159,7.2,9.1,137,hawk1
2,mango,,258,8.2,11.2,89,hawk1
3,orange,,137,6.2,6.5,53,hawk1
1,apple,,131,6.1,6.2,34,hawk1
1,apple,,162,7.1,7.4,36,hawk1
2,mango,,349,7.8,11.5,89,hawk1
3,orange,,168,6.5,6.9,91,hawk1
1,apple,,127,6.2,6.2,136,hawk1
1,apple,,159,7.5,7,137,hawk1
2,mango,,309,7.2,9.9,89,hawk1
3,orange,,175,6.9,6.5,498,hawk1
1,apple,red_delicious,131,7.6,7,35,xu
1,apple,red_delicious,166,6.5,7,36,xu
1,apple,red_delicious,122,7.5,8.5,32,xu
1,apple,red_delicious,215,8,8.5,137,xu
1,apple,gala,123,7,6.35,33,xu
1,apple,gala,131,7,6.5,33,xu
1,apple,gala,116,6.5,6,33,xu
1,apple,gala,139,7,6.35,135,xu
2,mango,,246,9.5,7.5,83,xu
2,mango,,256,10.5,7,139,xu
2,mango,,245,9.5,7,497,xu
2,mango,,334,11.5,8,497,xu
3,orange,,209,8.5,7.5,53,xu
3,orange,,162,7,7,53,xu
3,orange,,169,7,8,53,xu
3,orange,,159,7,7,53,xu
1,apple,gala,131,6.5,7,556,owl2
1,apple,red_delicious,127,7.5,7.5,552,owl2
2,mango,kent,288,9,11.5,51,owl2
3,orange,valencia,176,7.5,8.2,53,owl2
1,apple,gala,136,7.5,7.5,555,owl2
1,apple,red_delicious,139,7.5,7.5,135,owl2
3,orange,valencia,152,7.5,7,498,owl2
2,mango,kent,269,8.5,11,497,owl2
1,apple,gala,143,7,8,506,owl2
1,apple,red_delicious,146,7.5,7.5,555,owl2
2,mango,kent,246,9,10.5,146,owl2
3,orange,valencia,179,7.5,8,90,owl2
1,apple,gala,191,9,8.5,36,owl2
1,apple,red_delicious,123,7.5,6.5,135,owl2
2,mango,kent,248,9.5,10,146,owl2
3,orange,valencia,172,7.5,7.5,90,owl2
1,apple,gala,170,8,7.5,36,owl2
1,apple,red_delicious,122,7.5,7,554,owl2
2,mango,kent,315,9.5,12,147,owl2
3,orange,valencia,184,7.5,9.5,53,owl2
1,apple,gala,170,9,9,137,owl2
1,apple,red_delicious,153,8,7.5,35,owl2
2,mango,kent,250,9,0.5,51,owl2
3,orange,valencia,147,7,7.5,90,owl2
1,apple,gala,127,7,7.5,376,owl2
1,apple,red_delicious,130,7.5,7.5,555,owl2
3,orange,valencia,140,7,7.5,90,owl2
2,mango,kent,285,9,11,78,owl2
1,apple,red_delicous,214,8,9.5,136,osler
1,apple,gala,138,6.5,7,58,osler
1,apple,red_delicous,134,6.5,7.5,507,osler
1,apple,gala,126,6.5,7,554,osler
1,apple,red_delicous,132,7,7.5,556,osler
1,apple,red_delicous,148,7.5,7,35,osler
1,apple,gala,122,6.5,7,554,osler
1,apple,gala,137,6,8,34,osler
1,apple,red_delicous,182,8,8.5,133,osler
1,apple,gala,138,6.5,7.5,33,osler
2,mango,kent,164,8,10,88,osler
2,mango,kent,159,8,10.5,496,osler
2,mango,kent,229,7.5,10,89,osler
2,mango,kent,270,8.5,10.5,88,osler
2,mango,kent,320,9.5,12,88,osler
3,orange,citrus,182,7.5,9,498,osler
3,orange,citrus,160,6.5,7.5,498,osler
3,orange,citrus,148,7,8,498,osler
3,orange,citrus,170,6.5,8.5,498,osler
3,orange,citrus,227,8.5,9,498,osler
1,apple,red_delicious,163,10.5,12,100,mead
1,apple,red_delicious,134,10,9,100,mead
1,apple,red_delicious,242,12.25,12.5,35,mead
1,apple,red_delicious,139,10.25,10,36,mead
1,apple,gala,126,10,9,552,mead
1,apple,gala,127,10.5,9,135,mead
1,apple,gala,138,10.75,11,553,mead
1,apple,gala,140,10.5,10,134,mead
2,mango,unknown,281,12,14,497,mead
2,mango,unknown,270,11.5,14,76,mead
2,mango,unknown,320,12.5,16,76,mead
2,mango,unknown,248,11,13.5,89,mead
3,orange,unknown,187,11.25,11,53,mead
3,orange,unknown,182,11.25,11.5,91,mead
3,orange,unknown,172,10.75,11,91,mead
3,orange,unknown,170,11,11,91,mead
